date,cyclic_index,frame,lon_jupiter,lon_saturn,lon_uranus,lon_neptune,lon_pluto
1970-12-31,845.1099785840258,heliocentric,230.50354802375207,50.92932885814971,190.34960619087994,240.85256112504553,177.87179099863494
1971-01-07,845.6739618465554,heliocentric,231.04342812478686,51.184636666204746,190.4398235809648,240.89409087875458,177.915901414059
1971-01-14,845.9511958367269,heliocentric,231.58382910428543,51.44023423131283,190.53025031965078,240.93583506460917,177.96023714624573
1971-01-21,845.9459910672927,heliocentric,232.12425981647706,51.695626081049646,190.62039117865984,240.97729853481442,178.00430300116813
1971-01-28,845.9407646902091,heliocentric,232.66529731118084,51.9513849896314,190.71081916665545,241.01905436744377,178.04867202233925
1971-02-04,845.9355167611122,heliocentric,233.20638592209932,52.206951047811216,190.80097460477816,241.0605429465919,178.0927845660358
1971-02-11,845.9302473245396,heliocentric,233.74793715359954,52.46273155460599,190.89126501484012,241.10217185242936,178.1370481901596
1971-02-18,845.9249564130484,heliocentric,234.28958304850264,52.71835439001689,190.98131849035607,241.14356923199026,178.18109102546603
1971-02-25,845.9196440450603,heliocentric,234.83180784405585,52.974299671998374,191.07161535488675,241.1852154560869,178.22539343355677
1971-03-04,845.9143102218516,heliocentric,235.37416977813797,53.230121557672504,191.16170996871878,241.2266649234458,178.26950981252003
1971-03-11,845.9089549244906,heliocentric,235.91693882271457,53.486085956264944,191.25186845639104,241.26818378423823,178.31370632199292
1971-03-18,845.903578116965,heliocentric,236.45990495612642,53.74197874055063,191.34187695200373,241.30955818186578,178.3577691233833
1971-03-25,845.8981797723652,heliocentric,237.00341199792044,53.998139487372256,191.43207537746744,241.35112804000303,178.4020381538204
1971-04-01,845.8927599077905,heliocentric,237.54717439129664,54.25427831488623,191.5221742250462,241.3926038731674,178.44622391927214
1971-04-08,845.8873185555109,heliocentric,238.09129291222962,54.51049182993286,191.61227038631017,241.43408261787707,178.49042334012165
